"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 11 18:51:14 GMT 2024","Tue Jun 11 18:51:15 GMT 2024","786","tests.api","test_api_login","","","","test_successful_api_login",""
"passed","Tue Jun 11 18:51:15 GMT 2024","Tue Jun 11 18:51:16 GMT 2024","307","tests.api","test_api_login","","","","test_should_return_422_on_wrong_username",""
"passed","Tue Jun 11 18:51:17 GMT 2024","Tue Jun 11 18:51:17 GMT 2024","7","tests.api","test_api_signup","","","","test_invalid_payload_structure",""
"failed","Tue Jun 11 18:51:16 GMT 2024","Tue Jun 11 18:51:17 GMT 2024","304","tests.api","test_api_signup","","","","test_username_already_in_use",""
"passed","Tue Jun 11 18:51:25 GMT 2024","Tue Jun 11 18:51:26 GMT 2024","799","tests","test_edit","","","","test_autocomplete",""
"passed","Tue Jun 11 18:51:31 GMT 2024","Tue Jun 11 18:51:31 GMT 2024","39","tests","test_home","","","","test_successful_login",""
"passed","Tue Jun 11 18:51:16 GMT 2024","Tue Jun 11 18:51:16 GMT 2024","42","tests.api","test_api_signup","","","","test_field_validation_failed",""
"passed","Tue Jun 11 18:51:15 GMT 2024","Tue Jun 11 18:51:15 GMT 2024","20","tests.api","test_api_login","","","","test_should_return_400_if_username_or_password_too_short",""
"passed","Tue Jun 11 18:51:17 GMT 2024","Tue Jun 11 18:51:17 GMT 2024","11","tests.api","test_api_signup","","","","test_empty_payload",""
"passed","Tue Jun 11 18:51:32 GMT 2024","Tue Jun 11 18:51:33 GMT 2024","691","tests","test_login","","","","test_successful_login",""
"passed","Tue Jun 11 18:51:33 GMT 2024","Tue Jun 11 18:51:34 GMT 2024","684","tests","test_login","","","","test_failed_login",""
"failed","Tue Jun 11 18:51:16 GMT 2024","Tue Jun 11 18:51:16 GMT 2024","12","tests.api","test_api_signup","","","","test_access_denied",""
"passed","Tue Jun 11 18:51:27 GMT 2024","Tue Jun 11 18:51:30 GMT 2024","2762","tests","test_edit","","","","test_edit",""
"failed","Tue Jun 11 18:51:17 GMT 2024","Tue Jun 11 18:51:17 GMT 2024","305","tests.api","test_api_signup","","","","test_internal_server_error",""
"passed","Tue Jun 11 18:51:15 GMT 2024","Tue Jun 11 18:51:15 GMT 2024","319","tests.api","test_api_login","","","","test_should_return_422_on_wrong_password",""
"passed","Tue Jun 11 18:51:16 GMT 2024","Tue Jun 11 18:51:16 GMT 2024","375","tests.api","test_api_signup","","","","test_successful_user_registration",""
